PROGRAM,BODY,RUNG,OBJECT_TYPE_LIST,ATTRIBUTES
P002_ServoAdjustment,ServoAdjustment,3,Data Source/Sink Comments,全軸ｻｰﾎﾞ自動ﾓｰﾄﾞ =ALL AXIS SERVO AUTO MODE
P002_ServoAdjustment,ServoAdjustment,4,Data Source/Sink Comments,ｻｰﾎﾞﾊﾞｯﾃﾘ交換Off =SERVO BATTERY CHANGE OFF
P002_ServoAdjustment,MD_Out,12,Data Source/Sink Comments,"ﾌﾞﾚｰｷ強制解除 =BRAKE FORCED RELEASE
　・1Sｼﾘｰｽﾞ:b接点（GB002_0xx OFFでﾌﾞﾚｰｷ解除）
　・G5ｼﾘｰｽﾞ:a接点（GB002_0xx ONでﾌﾞﾚｰｷ解除）"
P003_Servo_Out,MD_Out,1,Data Source/Sink Comments,■ﾌﾞﾚｰｷ解除ﾘﾚｰﾃﾞﾊﾞｲｽ出力回路 =BRAKE RELEASE RELAY DEVICE OUTPUT
P009_Operation_Assist,Preparation,1,Data Source/Sink Comments,1-1
P009_Operation_Assist,Preparation,6,Data Source/Sink Comments,1-2
P009_Operation_Assist,Preparation,11,Data Source/Sink Comments,1-3
P009_Operation_Assist,Preparation,16,Data Source/Sink Comments,1-4
P009_Operation_Assist,Preparation,21,Data Source/Sink Comments,1-5
P009_Operation_Assist,Preparation,26,Data Source/Sink Comments,1-6
P009_Operation_Assist,Preparation,31,Data Source/Sink Comments,2-1
P009_Operation_Assist,Preparation,36,Data Source/Sink Comments,2-2
P009_Operation_Assist,Preparation,41,Data Source/Sink Comments,2-3
P009_Operation_Assist,Preparation,46,Data Source/Sink Comments,2-4
P009_Operation_Assist,Preparation,51,Data Source/Sink Comments,2-5
P009_Operation_Assist,Preparation,56,Data Source/Sink Comments,2-6
P009_Operation_Assist,Preparation,61,Data Source/Sink Comments,3-1
P009_Operation_Assist,Preparation,66,Data Source/Sink Comments,3-2
P009_Operation_Assist,Preparation,71,Data Source/Sink Comments,3-3
P009_Operation_Assist,Preparation,76,Data Source/Sink Comments,3-4
P009_Operation_Assist,Preparation,81,Data Source/Sink Comments,3-5
P009_Operation_Assist,Preparation,86,Data Source/Sink Comments,3-6
P009_Operation_Assist,Preparation,91,Data Source/Sink Comments,4-1
P009_Operation_Assist,Preparation,96,Data Source/Sink Comments,4-2
P009_Operation_Assist,Preparation,101,Data Source/Sink Comments,4-3
P009_Operation_Assist,Preparation,106,Data Source/Sink Comments,4-4
P009_Operation_Assist,Preparation,111,Data Source/Sink Comments,4-5
P009_Operation_Assist,Preparation,116,Data Source/Sink Comments,4-6
P009_Operation_Assist,Preparation,121,Data Source/Sink Comments,5-1
P009_Operation_Assist,Preparation,126,Data Source/Sink Comments,5-2
P009_Operation_Assist,Preparation,131,Data Source/Sink Comments,5-3
P009_Operation_Assist,Preparation,136,Data Source/Sink Comments,5-4
P009_Operation_Assist,Preparation,141,Data Source/Sink Comments,5-5
P009_Operation_Assist,Preparation,146,Data Source/Sink Comments,5-6
P009_Operation_Assist,Preparation,151,Data Source/Sink Comments,6-1
P009_Operation_Assist,Preparation,156,Data Source/Sink Comments,6-2
P009_Operation_Assist,Preparation,161,Data Source/Sink Comments,6-3
P009_Operation_Assist,Preparation,166,Data Source/Sink Comments,6-4
P009_Operation_Assist,Preparation,171,Data Source/Sink Comments,6-5
P009_Operation_Assist,Preparation,176,Data Source/Sink Comments,6-6
P009_Operation_Assist,Preparation,181,Data Source/Sink Comments,7-1
P009_Operation_Assist,Preparation,186,Data Source/Sink Comments,7-2
P009_Operation_Assist,Preparation,191,Data Source/Sink Comments,7-3
P009_Operation_Assist,Preparation,196,Data Source/Sink Comments,7-4
P009_Operation_Assist,Preparation,201,Data Source/Sink Comments,7-5
P009_Operation_Assist,Preparation,206,Data Source/Sink Comments,7-6
P009_Operation_Assist,Preparation,211,Data Source/Sink Comments,8-1
P009_Operation_Assist,Preparation,216,Data Source/Sink Comments,8-2
P009_Operation_Assist,Preparation,221,Data Source/Sink Comments,8-3
P009_Operation_Assist,Preparation,226,Data Source/Sink Comments,8-4
P009_Operation_Assist,Preparation,231,Data Source/Sink Comments,8-5
P009_Operation_Assist,Preparation,236,Data Source/Sink Comments,8-6
P009_Operation_Assist,Preparation,241,Data Source/Sink Comments,9-1
P009_Operation_Assist,Preparation,246,Data Source/Sink Comments,9-2
P009_Operation_Assist,Preparation,251,Data Source/Sink Comments,9-3
P009_Operation_Assist,Preparation,256,Data Source/Sink Comments,9-4
P009_Operation_Assist,Preparation,261,Data Source/Sink Comments,9-5
P009_Operation_Assist,Preparation,266,Data Source/Sink Comments,9-6
P009_Operation_Assist,Preparation,271,Data Source/Sink Comments,A-1
P009_Operation_Assist,Preparation,276,Data Source/Sink Comments,A-2
P009_Operation_Assist,Preparation,281,Data Source/Sink Comments,A-3
P009_Operation_Assist,Preparation,286,Data Source/Sink Comments,A-4
P009_Operation_Assist,Preparation,291,Data Source/Sink Comments,A-5
P009_Operation_Assist,Preparation,296,Data Source/Sink Comments,A-6
P009_Operation_Assist,Preparation,301,Data Source/Sink Comments,B-1
P009_Operation_Assist,Preparation,306,Data Source/Sink Comments,B-2
P009_Operation_Assist,Preparation,311,Data Source/Sink Comments,B-3
P009_Operation_Assist,Preparation,316,Data Source/Sink Comments,B-4
P009_Operation_Assist,Preparation,321,Data Source/Sink Comments,B-5
P009_Operation_Assist,Preparation,326,Data Source/Sink Comments,B-6
P009_Operation_Assist,Preparation,331,Data Source/Sink Comments,C-1
P009_Operation_Assist,Preparation,336,Data Source/Sink Comments,C-2
P009_Operation_Assist,Preparation,341,Data Source/Sink Comments,C-3
P009_Operation_Assist,Preparation,346,Data Source/Sink Comments,C-4
P009_Operation_Assist,Preparation,351,Data Source/Sink Comments,C-5
P009_Operation_Assist,Preparation,356,Data Source/Sink Comments,C-6
P009_Operation_Assist,Preparation,361,Data Source/Sink Comments,D-1
P009_Operation_Assist,Preparation,366,Data Source/Sink Comments,D-2
P009_Operation_Assist,Preparation,371,Data Source/Sink Comments,D-3
P009_Operation_Assist,Preparation,376,Data Source/Sink Comments,D-4
P009_Operation_Assist,Preparation,381,Data Source/Sink Comments,D-5
P009_Operation_Assist,Preparation,386,Data Source/Sink Comments,D-6
P009_Operation_Assist,Preparation,391,Data Source/Sink Comments,E-1
P009_Operation_Assist,Preparation,396,Data Source/Sink Comments,E-2
P009_Operation_Assist,Preparation,401,Data Source/Sink Comments,E-3
P009_Operation_Assist,Preparation,406,Data Source/Sink Comments,E-4
P009_Operation_Assist,Preparation,411,Data Source/Sink Comments,E-5
P009_Operation_Assist,Preparation,416,Data Source/Sink Comments,E-6
P009_Operation_Assist,Preparation,421,Data Source/Sink Comments,F-1
P009_Operation_Assist,Preparation,426,Data Source/Sink Comments,F-2
P009_Operation_Assist,Preparation,431,Data Source/Sink Comments,F-3
P009_Operation_Assist,Preparation,436,Data Source/Sink Comments,F-4
P009_Operation_Assist,Preparation,441,Data Source/Sink Comments,F-5
P009_Operation_Assist,Preparation,446,Data Source/Sink Comments,F-6
P009_Operation_Assist,Preparation,451,Data Source/Sink Comments,G-1
P009_Operation_Assist,Preparation,456,Data Source/Sink Comments,G-2
P009_Operation_Assist,Preparation,461,Data Source/Sink Comments,G-3
P009_Operation_Assist,Preparation,466,Data Source/Sink Comments,G-4
P009_Operation_Assist,Preparation,471,Data Source/Sink Comments,G-5
P009_Operation_Assist,Preparation,476,Data Source/Sink Comments,G-6
P009_Operation_Assist,Preparation,481,Data Source/Sink Comments,■履歴
P009_Operation_Assist,FB_Ope_Assi,1,Data Source/Sink Comments,1-1
P009_Operation_Assist,FB_Ope_Assi,2,Data Source/Sink Comments,1-2
P009_Operation_Assist,FB_Ope_Assi,3,Data Source/Sink Comments,1-3
P009_Operation_Assist,FB_Ope_Assi,4,Data Source/Sink Comments,1-4
P009_Operation_Assist,FB_Ope_Assi,5,Data Source/Sink Comments,1-5
P009_Operation_Assist,FB_Ope_Assi,6,Data Source/Sink Comments,1-6
P009_Operation_Assist,FB_Ope_Assi,7,Data Source/Sink Comments,2-1
P009_Operation_Assist,FB_Ope_Assi,8,Data Source/Sink Comments,2-2
P009_Operation_Assist,FB_Ope_Assi,9,Data Source/Sink Comments,2-3
P009_Operation_Assist,FB_Ope_Assi,10,Data Source/Sink Comments,2-4
P009_Operation_Assist,FB_Ope_Assi,11,Data Source/Sink Comments,2-5
P009_Operation_Assist,FB_Ope_Assi,12,Data Source/Sink Comments,2-6
P009_Operation_Assist,FB_Ope_Assi,13,Data Source/Sink Comments,3-1
P009_Operation_Assist,FB_Ope_Assi,14,Data Source/Sink Comments,3-2
P009_Operation_Assist,FB_Ope_Assi,15,Data Source/Sink Comments,3-3
P009_Operation_Assist,FB_Ope_Assi,16,Data Source/Sink Comments,3-4
P009_Operation_Assist,FB_Ope_Assi,17,Data Source/Sink Comments,3-5
P009_Operation_Assist,FB_Ope_Assi,18,Data Source/Sink Comments,3-6
P009_Operation_Assist,FB_Ope_Assi,19,Data Source/Sink Comments,4-1
P009_Operation_Assist,FB_Ope_Assi,20,Data Source/Sink Comments,4-2
P009_Operation_Assist,FB_Ope_Assi,21,Data Source/Sink Comments,4-3
P009_Operation_Assist,FB_Ope_Assi,22,Data Source/Sink Comments,4-4
P009_Operation_Assist,FB_Ope_Assi,23,Data Source/Sink Comments,4-5
P009_Operation_Assist,FB_Ope_Assi,24,Data Source/Sink Comments,4-6
P009_Operation_Assist,FB_Ope_Assi,25,Data Source/Sink Comments,5-1
P009_Operation_Assist,FB_Ope_Assi,26,Data Source/Sink Comments,5-2
P009_Operation_Assist,FB_Ope_Assi,27,Data Source/Sink Comments,5-3
P009_Operation_Assist,FB_Ope_Assi,28,Data Source/Sink Comments,5-4
P009_Operation_Assist,FB_Ope_Assi,29,Data Source/Sink Comments,5-5
P009_Operation_Assist,FB_Ope_Assi,30,Data Source/Sink Comments,5-6
P009_Operation_Assist,FB_Ope_Assi,31,Data Source/Sink Comments,6-1
P009_Operation_Assist,FB_Ope_Assi,32,Data Source/Sink Comments,6-2
P009_Operation_Assist,FB_Ope_Assi,33,Data Source/Sink Comments,6-3
P009_Operation_Assist,FB_Ope_Assi,34,Data Source/Sink Comments,6-4
P009_Operation_Assist,FB_Ope_Assi,35,Data Source/Sink Comments,6-5
P009_Operation_Assist,FB_Ope_Assi,36,Data Source/Sink Comments,6-6
P009_Operation_Assist,FB_Ope_Assi,37,Data Source/Sink Comments,7-1
P009_Operation_Assist,FB_Ope_Assi,38,Data Source/Sink Comments,7-2
P009_Operation_Assist,FB_Ope_Assi,39,Data Source/Sink Comments,7-3
P009_Operation_Assist,FB_Ope_Assi,40,Data Source/Sink Comments,7-4
P009_Operation_Assist,FB_Ope_Assi,41,Data Source/Sink Comments,7-5
P009_Operation_Assist,FB_Ope_Assi,42,Data Source/Sink Comments,7-6
P009_Operation_Assist,FB_Ope_Assi,43,Data Source/Sink Comments,8-1
P009_Operation_Assist,FB_Ope_Assi,44,Data Source/Sink Comments,8-2
P009_Operation_Assist,FB_Ope_Assi,45,Data Source/Sink Comments,8-3
P009_Operation_Assist,FB_Ope_Assi,46,Data Source/Sink Comments,8-4
P009_Operation_Assist,FB_Ope_Assi,47,Data Source/Sink Comments,8-5
P009_Operation_Assist,FB_Ope_Assi,48,Data Source/Sink Comments,8-6
P009_Operation_Assist,FB_Ope_Assi,49,Data Source/Sink Comments,9-1
P009_Operation_Assist,FB_Ope_Assi,50,Data Source/Sink Comments,9-2
P009_Operation_Assist,FB_Ope_Assi,51,Data Source/Sink Comments,9-3
P009_Operation_Assist,FB_Ope_Assi,52,Data Source/Sink Comments,9-4
P009_Operation_Assist,FB_Ope_Assi,53,Data Source/Sink Comments,9-5
P009_Operation_Assist,FB_Ope_Assi,54,Data Source/Sink Comments,9-6
P009_Operation_Assist,FB_Ope_Assi,55,Data Source/Sink Comments,A-1
P009_Operation_Assist,FB_Ope_Assi,56,Data Source/Sink Comments,A-2
P009_Operation_Assist,FB_Ope_Assi,57,Data Source/Sink Comments,A-3
P009_Operation_Assist,FB_Ope_Assi,58,Data Source/Sink Comments,A-4
P009_Operation_Assist,FB_Ope_Assi,59,Data Source/Sink Comments,A-5
P009_Operation_Assist,FB_Ope_Assi,60,Data Source/Sink Comments,A-6
P009_Operation_Assist,FB_Ope_Assi,61,Data Source/Sink Comments,B-1
P009_Operation_Assist,FB_Ope_Assi,62,Data Source/Sink Comments,B-2
P009_Operation_Assist,FB_Ope_Assi,63,Data Source/Sink Comments,B-3
P009_Operation_Assist,FB_Ope_Assi,64,Data Source/Sink Comments,B-4
P009_Operation_Assist,FB_Ope_Assi,65,Data Source/Sink Comments,B-5
P009_Operation_Assist,FB_Ope_Assi,66,Data Source/Sink Comments,B-6
P009_Operation_Assist,FB_Ope_Assi,67,Data Source/Sink Comments,C-1
P009_Operation_Assist,FB_Ope_Assi,68,Data Source/Sink Comments,C-2
P009_Operation_Assist,FB_Ope_Assi,69,Data Source/Sink Comments,C-3
P009_Operation_Assist,FB_Ope_Assi,70,Data Source/Sink Comments,C-4
P009_Operation_Assist,FB_Ope_Assi,71,Data Source/Sink Comments,C-5
P009_Operation_Assist,FB_Ope_Assi,72,Data Source/Sink Comments,C-6
P009_Operation_Assist,FB_Ope_Assi,73,Data Source/Sink Comments,D-1
P009_Operation_Assist,FB_Ope_Assi,74,Data Source/Sink Comments,D-2
P009_Operation_Assist,FB_Ope_Assi,75,Data Source/Sink Comments,D-3
P009_Operation_Assist,FB_Ope_Assi,76,Data Source/Sink Comments,D-4
P009_Operation_Assist,FB_Ope_Assi,77,Data Source/Sink Comments,D-5
P009_Operation_Assist,FB_Ope_Assi,78,Data Source/Sink Comments,D-6
P009_Operation_Assist,FB_Ope_Assi,79,Data Source/Sink Comments,E-1
P009_Operation_Assist,FB_Ope_Assi,80,Data Source/Sink Comments,E-2
P009_Operation_Assist,FB_Ope_Assi,81,Data Source/Sink Comments,E-3
P009_Operation_Assist,FB_Ope_Assi,82,Data Source/Sink Comments,E-4
P009_Operation_Assist,FB_Ope_Assi,83,Data Source/Sink Comments,E-5
P009_Operation_Assist,FB_Ope_Assi,84,Data Source/Sink Comments,E-6
P009_Operation_Assist,FB_Ope_Assi,85,Data Source/Sink Comments,F-1
P009_Operation_Assist,FB_Ope_Assi,86,Data Source/Sink Comments,F-2
P009_Operation_Assist,FB_Ope_Assi,87,Data Source/Sink Comments,F-3
P009_Operation_Assist,FB_Ope_Assi,88,Data Source/Sink Comments,F-4
P009_Operation_Assist,FB_Ope_Assi,89,Data Source/Sink Comments,F-5
P009_Operation_Assist,FB_Ope_Assi,90,Data Source/Sink Comments,F-6
P009_Operation_Assist,FB_Ope_Assi,91,Data Source/Sink Comments,G-1
P009_Operation_Assist,FB_Ope_Assi,92,Data Source/Sink Comments,G-2
P009_Operation_Assist,FB_Ope_Assi,93,Data Source/Sink Comments,G-3
P009_Operation_Assist,FB_Ope_Assi,94,Data Source/Sink Comments,G-4
P009_Operation_Assist,FB_Ope_Assi,95,Data Source/Sink Comments,G-5
P009_Operation_Assist,FB_Ope_Assi,96,Data Source/Sink Comments,G-6
P009_Operation_Assist,FB_Motion_Time,1,Data Source/Sink Comments,動作時間
P100_Main1,DeviceIn,1,Data Source/Sink Comments,■機器の実ｱﾄﾞﾚｽを名称固定ｸﾞﾛｰﾊﾞﾙ変数に置換え =REPLACE DEVICE ADDRESS WITH FIXED GLOBAL VARIABLES
P100_Main1,DeviceIn,9,Data Source/Sink Comments,■安全PLCより =FROM SAFETY PLC
P100_Main1,Fault,1,Data Source/Sink Comments,"■異常解除 =FAULT RESET
        P100_Main1内で発生した異常をリセットする"
P100_Main1,Fault,2,Data Source/Sink Comments,"■設備全体に関わる異常処理を行う =FAULT OF WHOLE MACHINE 
■緊急停止異常 =EMERGENCY STOP"
P100_Main1,Fault,8,Data Source/Sink Comments,■ｻｲｸﾙ停止異常 =CYCLE STOP
P100_Main1,Fault,9,Data Source/Sink Comments,"■異常停止 =FAULT STOP
※※異常の条件は都度設計してください。
※※適切なタイマ値に設定してください。"
P100_Main1,Fault,10,Data Source/Sink Comments,■予告警報 =WARNING
P100_Main1,Fault,12,Data Source/Sink Comments,■緊急停止まとめ =EMERGENCY STOP TOTAL
P100_Main1,Fault,24,Data Source/Sink Comments,■自動停止まとめ =AUTO STOP TOTAL
P100_Main1,Fault,34,Data Source/Sink Comments,■ｻｲｸﾙ停止まとめ =CYCLE STOP TOTAL
P100_Main1,Fault,47,Data Source/Sink Comments,■異常停止まとめ =FAULT STOP TOTAL
P100_Main1,Fault,57,Data Source/Sink Comments,■予告警報まとめ =WARNING TOTAL
P100_Main1,Fault,69,Data Source/Sink Comments,■独立制御機器緊急停止まとめ =INDEPENDENT DEVICE EMERGENCY TOTAL
P100_Main1,Fault,74,Data Source/Sink Comments,■ﾌﾞｻﾞｰ =BUZZER
P100_Main1,Fault,80,Data Source/Sink Comments,■ｼｸﾞﾅﾙﾀﾜｰ =SIGNAL TOWER
P100_Main1,MasterPreparUnit,1,Data Source/Sink Comments,"■省ｴﾈ運転 ZDB
　　省ｴﾈ開始 自工程条件"
P100_Main1,Condition,1,Data Source/Sink Comments,"■設備全体の状態(原位置・起動条件・運転中でない)まとめ =MACHINE STATUS 
■全原位置 =ALL HOME POSITION"
P100_Main1,AutoMain,1,Data Source/Sink Comments,■自動運転起動･停止 =AUTO START
P100_Main1,AutoMain,5,Data Source/Sink Comments,Machine stop  ■運転中でない
P100_Main1,AutoMain,10,Data Source/Sink Comments,■設備停止 =MACHINE STOP
P100_Main1,AutoMain,11,Data Source/Sink Comments,"■Discharge
        -メイン搬送を司るﾌﾟﾛｸﾞﾗﾑの停止中信号とを割付"
P100_Main1,AutoMain,12,Data Source/Sink Comments,"-排出運転のステップに条件を割付け；使用しないステップは常時ONを割付け
        -各工程のワーク無し（センサ・記憶）を割付"
P100_Main1,HMI_Out,1,Data Source/Sink Comments,"■運転準備条件(HMI） =MASTER READY CONDITION
        - 未使用の場合 常時ON =IN CASE OF NOT IN USE, ALWAYS ON"
P100_Main1,HMI_Out,3,Data Source/Sink Comments,"_EC_PDActive:  ﾌﾟﾛｾｽﾃﾞｰﾀ通信ｽﾃｰﾀｽ =PROCESS DATA COMMUNICATION STATUS
　　　ONで通信正常。EtherCAT機器未使用時はOFFのため_EC_PDActive信号をすべて削除してください 
　　　ON is communication normal. If not in use EtherCAT device, delete _EC_PDActive due to turn it off."
P100_Main1,HMI_Out,17,Data Source/Sink Comments,■機器立上げ =DEVICE SETUP
P100_Main1,HMI_Out,65,Data Source/Sink Comments,"■自動起動条件 =AUTO START CONDITION
        - 未使用の場合 常時ON =IN CASE OF NOT IN USE, ALWAYS ON"
P100_Main1,HMI_Out,98,Data Source/Sink Comments,■自動運転 特殊運転 =AUTO RUN SPECIAL OPERATION
P100_Main1,HMI_Out,108,Data Source/Sink Comments,■補助操作 =AUXILIARY OPERATION
P100_Main1,HMI_Out,156,Data Source/Sink Comments,■ﾒﾝﾃﾅﾝｽ操作 =MAINTENANCE OPERATION
P100_Main1,HMI_Out,212,Data Source/Sink Comments,■異常MAP
P100_Main1,DeviceOut,1,Data Source/Sink Comments,"■ﾊﾞﾙﾌﾞ、機器、ｼｸﾞﾅﾙﾀﾜｰなどの出力回路 = DEVICE OUTPUT
        -Operation panel"
P100_Main1,DeviceOut,6,Data Source/Sink Comments,-Signal tower
