PROGRAM,BODY,RUNG,RUNG_NAME,OBJECT,OBJECT_TYPE_LIST,ATTRIBUTES
P000_InitialSetting,Initial,12,NONE,LdObject,Coil,"{'operand': 'GSB003', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,12,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,13,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,13,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,13,NONE,LdObject,Coil,"{'operand': 'GSB004', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,13,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,14,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,14,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,14,NONE,LdObject,Coil,"{'operand': 'GSB005', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,14,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,15,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,15,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,15,NONE,LdObject,Coil,"{'operand': 'GSB006', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,15,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,16,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,16,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,16,NONE,LdObject,Coil,"{'operand': 'GSB007', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,16,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,17,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,17,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,17,NONE,LdObject,Coil,"{'operand': 'GSB008', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,17,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,18,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,18,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,18,NONE,LdObject,Coil,"{'operand': 'GSB009', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,18,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,19,"
■調整用ｺｲﾙ =ADJUSTMENT COIL
        調整中の一時的な回路無効化/有効化、変更箇所の明示
",CommonObject,Comment,{}
P000_InitialSetting,Initial,19,"
■調整用ｺｲﾙ =ADJUSTMENT COIL
        調整中の一時的な回路無効化/有効化、変更箇所の明示
",LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,19,"
■調整用ｺｲﾙ =ADJUSTMENT COIL
        調整中の一時的な回路無効化/有効化、変更箇所の明示
",LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,19,"
■調整用ｺｲﾙ =ADJUSTMENT COIL
        調整中の一時的な回路無効化/有効化、変更箇所の明示
",LdObject,Coil,"{'operand': 'GSB010', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,19,"
■調整用ｺｲﾙ =ADJUSTMENT COIL
        調整中の一時的な回路無効化/有効化、変更箇所の明示
",LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,20,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,20,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,20,NONE,LdObject,Coil,"{'operand': 'GSB011', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,20,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,21,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,21,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,21,NONE,LdObject,Coil,"{'operand': 'GSB012', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,21,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,22,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,22,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,22,NONE,LdObject,Coil,"{'operand': 'GSB013', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,22,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,23,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,23,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,23,NONE,LdObject,Coil,"{'operand': 'GSB014', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,23,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,24,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,24,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,24,NONE,LdObject,Coil,"{'operand': 'GSB015', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,24,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,25,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,25,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,25,NONE,LdObject,Coil,"{'operand': 'GSB016', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,25,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,26,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,26,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,26,NONE,LdObject,Coil,"{'operand': 'GSB017', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,26,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,27,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,27,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,27,NONE,LdObject,Coil,"{'operand': 'GSB018', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,27,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,28,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,28,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,28,NONE,LdObject,Coil,"{'operand': 'GSB019', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,28,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,29,"
■独立制御機器　監視タイマ設定　=IndependentControlDevice StopFault TimerSetting
",CommonObject,Comment,{}
P000_InitialSetting,Initial,29,"
■独立制御機器　監視タイマ設定　=IndependentControlDevice StopFault TimerSetting
",LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,29,"
■独立制御機器　監視タイマ設定　=IndependentControlDevice StopFault TimerSetting
",LdObject,Contact,"{'operand': 'GSB000', 'negated': 'false', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,29,"
■独立制御機器　監視タイマ設定　=IndependentControlDevice StopFault TimerSetting
",FbdObject,DataSource,"{'identifier': 'T#1.0s', 'out_list': ['3']}"
P000_InitialSetting,Initial,29,"
■独立制御機器　監視タイマ設定　=IndependentControlDevice StopFault TimerSetting
",FbdObject,Block,"{'typeName': 'MOVE', 'EN_inVar_in_order': ['1'], 'EN_inVar_in_list': ['2'], 'In_inVar_in_order': ['2'], 'In_inVar_in_list': ['3'], 'ENO_outVar_out_order': ['1'], 'ENO_outVar_out_list': ['4'], 'Out_outVar_out_order': ['2'], 'Out_outVar_out_list': ['5']}"
P000_InitialSetting,Initial,29,"
■独立制御機器　監視タイマ設定　=IndependentControlDevice StopFault TimerSetting
",FbdObject,DataSink,"{'identifier': 'GD000_000', 'in_list': ['5']}"
P000_InitialSetting,Initial,29,"
■独立制御機器　監視タイマ設定　=IndependentControlDevice StopFault TimerSetting
",LdObject,RightPowerRail,"{'in_list': ['4'], 'out_list': []}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",CommonObject,Comment,{}
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",LdObject,Contact,"{'operand': 'PB_FLT_RST', 'negated': 'false', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",LdObject,Contact,"{'operand': 'AUTO_RUN', 'negated': 'true', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSource,"{'identifier': 'AL000', 'out_list': ['4']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,Block,"{'typeName': 'Clear', 'InOut_inoutVar_in_order': ['2'], 'InOut_inoutVar_in_list': ['4'], 'InOut_inoutVar_out_order': ['2'], 'InOut_inoutVar_out_list': ['6'], 'EN_inVar_in_order': ['1'], 'EN_inVar_in_list': ['3'], 'ENO_outVar_out_order': ['1'], 'ENO_outVar_out_list': ['5'], '_outVar_out_order': ['3'], '_outVar_out_list': ['7']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': 'AL000', 'in_list': ['6']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': '', 'in_list': ['7']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,Block,{}
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': '', 'in_list': ['9']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': '', 'in_list': ['10']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSource,"{'identifier': '_PLC_ErrSta', 'out_list': ['11']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSource,"{'identifier': 'USINT#4', 'out_list': ['12']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,Block,{}
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,Block,{}
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': '', 'in_list': ['15']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': '', 'in_list': ['16']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': '', 'in_list': ['17']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,Block,{}
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': '', 'in_list': ['19']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': '', 'in_list': ['20']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSource,"{'identifier': '_EC_ErrSta', 'out_list': ['21']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSource,"{'identifier': 'USINT#4', 'out_list': ['22']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,Block,{}
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,Block,{}
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': '', 'in_list': ['25']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': '', 'in_list': ['26']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",FbdObject,DataSink,"{'identifier': '', 'in_list': ['27']}"
P000_InitialSetting,Fault,1,"
■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする
",LdObject,RightPowerRail,"{'in_list': ['5', '14', '24'], 'out_list': []}"
P000_InitialSetting,Fault,2,"
■緊急停止異常 =EMERGENCY STOP 
        _PLC_ErrSta: PLC機能ﾓｼﾞｭｰﾙ異常ｽﾃｰﾀｽ =PLC FUNCTION MODULE FAULT STATUS
　　　(7bit: 全停止ﾌｫｰﾙﾄ ﾕｰｻﾞﾌﾟﾛｸﾞﾗﾑ停止するため表示不可 / 6bit: 部分停止ﾌｫｰﾙﾄ / 5bit: 軽度ﾌｫｰﾙﾄ / 4bit: 監視情報(警報異常) / 他：予約)
",CommonObject,Comment,{}
P000_InitialSetting,Fault,2,"
■緊急停止異常 =EMERGENCY STOP 
        _PLC_ErrSta: PLC機能ﾓｼﾞｭｰﾙ異常ｽﾃｰﾀｽ =PLC FUNCTION MODULE FAULT STATUS
　　　(7bit: 全停止ﾌｫｰﾙﾄ ﾕｰｻﾞﾌﾟﾛｸﾞﾗﾑ停止するため表示不可 / 6bit: 部分停止ﾌｫｰﾙﾄ / 5bit: 軽度ﾌｫｰﾙﾄ / 4bit: 監視情報(警報異常) / 他：予約)
",LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1', '2']}"
P000_InitialSetting,Fault,2,"
■緊急停止異常 =EMERGENCY STOP 
        _PLC_ErrSta: PLC機能ﾓｼﾞｭｰﾙ異常ｽﾃｰﾀｽ =PLC FUNCTION MODULE FAULT STATUS
　　　(7bit: 全停止ﾌｫｰﾙﾄ ﾕｰｻﾞﾌﾟﾛｸﾞﾗﾑ停止するため表示不可 / 6bit: 部分停止ﾌｫｰﾙﾄ / 5bit: 軽度ﾌｫｰﾙﾄ / 4bit: 監視情報(警報異常) / 他：予約)
",LdObject,Contact,"{'operand': 'PWR_ON', 'negated': 'false', 'in_list': ['1'], 'out_list': ['3']}"
P000_InitialSetting,Fault,2,"
■緊急停止異常 =EMERGENCY STOP 
        _PLC_ErrSta: PLC機能ﾓｼﾞｭｰﾙ異常ｽﾃｰﾀｽ =PLC FUNCTION MODULE FAULT STATUS
　　　(7bit: 全停止ﾌｫｰﾙﾄ ﾕｰｻﾞﾌﾟﾛｸﾞﾗﾑ停止するため表示不可 / 6bit: 部分停止ﾌｫｰﾙﾄ / 5bit: 軽度ﾌｫｰﾙﾄ / 4bit: 監視情報(警報異常) / 他：予約)
",FbdObject,DataSource,"{'identifier': '_PLC_ErrSta', 'out_list': ['4']}"
