FUNCTION_BLOCK,BODY_TYPE,RUNG,OBJECT_TYPE_LIST,ATTRIBUTES
ServoAdjustment_ServoFB_ZBW,LD,34,Data Source/Sink Comments,■各軸 ｵｰﾊﾞﾗｲﾄﾞ設定
ServoAdjustment_ServoFB_ZBW,LD,37,Data Source/Sink Comments,■各軸 JOG設定
ServoAdjustment_ServoFB_ZBW,LD,40,Data Source/Sink Comments,■原点ｾｯﾄ ﾊﾟﾗﾒｰﾀ設定
ServoAdjustment_ServoFB_ZBW,LD,46,Data Source/Sink Comments,■各軸 ﾌﾞﾚｰｷ解除
ServoAdjustment_ServoFB_ZBW,LD,49,Data Source/Sink Comments,■異常ｽﾃｰﾀｽ監視
ServoAdjustment_HMIFB_ZBW,LD,11,Data Source/Sink Comments,■ｼｽﾃﾑｴﾘｱ
ServoAdjustment_HMIFB_ZBW,LD,12,Data Source/Sink Comments,"LD010：1～32     （軸番号）
LD013：0～31     （制御軸番号）
LD014：0～31     （制御軸番号・・・無限軸用）"
ServoAdjustment_HMIFB_ZBW,LD,13,Data Source/Sink Comments,"■表示単位読込み
　　0: _mcPls(pulse)
　　1: _mcMm(mm)
　　2: _mcUm(μm)
　　3: _mcNm(nm)
　　4: _mcDeg(degree)
　　5: _mcInch(inch)"
ServoAdjustment_HMIFB_ZBW,LD,14,Data Source/Sink Comments,■ｵｰﾊﾞｰﾗｲﾄﾞ速度
ServoAdjustment_HMIFB_ZBW,LD,15,Data Source/Sink Comments,■ｻｰﾎﾞ現在値
ServoAdjustment_HMIFB_ZBW,LD,16,Data Source/Sink Comments,■PB操作_ｻｰﾎﾞ調整有効
ServoAdjustment_HMIFB_ZBW,LD,19,Data Source/Sink Comments,■PB操作_JOG調整有効
ServoAdjustment_HMIFB_ZBW,LD,22,Data Source/Sink Comments,■PB操作_ﾊﾟｿｺﾝ調整有効
ServoAdjustment_HMIFB_ZBW,LD,25,Data Source/Sink Comments,■PB操作_ﾌﾞﾚｰｷ調整有効
ServoAdjustment_HMIFB_ZBW,LD,28,Data Source/Sink Comments,■座標・速度書込
ServoAdjustment_HMIFB_ZBW,LD,29,Data Source/Sink Comments,■ｻｰﾎﾞ座標設定
ServoAdjustment_HMIFB_ZBW,LD,48,Data Source/Sink Comments,■PL表示
ServoAdjustment_HMIFB_ZBW,LD,59,Data Source/Sink Comments,■表示ﾃﾞｰﾀ更新
ServoAdjustment_HMIFB_ZBW,LD,61,Data Source/Sink Comments,■座標・速度書込
ServoAdjustment_HMIFB_ZBW,LD,65,Data Source/Sink Comments,無限軸時のみ
ServoAdjustment_HMIFB_ZBW,LD,67,Data Source/Sink Comments,ﾎﾟｲﾝﾄ1
ServoAdjustment_HMIFB_ZBW,LD,71,Data Source/Sink Comments,ﾎﾟｲﾝﾄ2
ServoAdjustment_HMIFB_ZBW,LD,75,Data Source/Sink Comments,ﾎﾟｲﾝﾄ3
ServoAdjustment_HMIFB_ZBW,LD,79,Data Source/Sink Comments,ﾎﾟｲﾝﾄ4
ServoAdjustment_HMIFB_ZBW,LD,83,Data Source/Sink Comments,ﾎﾟｲﾝﾄ5
ServoAdjustment_HMIFB_ZBW,LD,87,Data Source/Sink Comments,ﾎﾟｲﾝﾄ6
ServoAdjustment_HMIFB_ZBW,LD,91,Data Source/Sink Comments,ﾎﾟｲﾝﾄ7
ServoAdjustment_HMIFB_ZBW,LD,95,Data Source/Sink Comments,ﾎﾟｲﾝﾄ8
ServoAdjustment_HMIFB_ZBW,LD,99,Data Source/Sink Comments,ﾎﾟｲﾝﾄ9
ServoAdjustment_HMIFB_ZBW,LD,103,Data Source/Sink Comments,ﾎﾟｲﾝﾄ10
ServoAdjustment_HMIFB_ZBW,LD,107,Data Source/Sink Comments,ﾘﾐｯﾄ値計算
ServoAdjustment_HMIFB_ZBW,LD,124,Data Source/Sink Comments,■座標・速度読込
EnergySavingOperation_ZDB,LD,1,Data Source/Sink Comments,■異常ﾋﾞｯﾄｸﾘｱ
EnergySavingOperation_ZDB,LD,2,Data Source/Sink Comments,■異常ﾋﾞｯﾄ出力
EnergySavingOperation_ZDB,LD,3,Data Source/Sink Comments,◇省ｴﾈ運転処理
MDAssetInfo_ZFB,LD,1,Data Source/Sink Comments,//異常解除
MDAssetInfo_ZFB,LD,2,Data Source/Sink Comments,Check MD number inrange
MDAssetInfo_ZFB,LD,3,Data Source/Sink Comments,Store MD alarm
MDAssetInfo_ZFB,LD,4,Data Source/Sink Comments,Get MD motion time
MDAssetInfo_ZFB,LD,5,Data Source/Sink Comments,Store MD Motion Time
MDAssetInfo_ZFB,LD,6,Data Source/Sink Comments,Motion timer reset
MDAssetInfo_ZFB,LD,7,Data Source/Sink Comments,Get number of MD motion
MDAssetInfo_ZFB,LD,8,Data Source/Sink Comments,Store number of MD Motion
MDAssetInfo_ZFB,LD,9,Data Source/Sink Comments,Store MD Custom data
Operation_Assist,LD,1,Data Source/Sink Comments,■Preparation
Operation_Assist,LD,8,Data Source/Sink Comments,■入力
Operation_Assist,LD,11,Data Source/Sink Comments,■ランプ状態格納
Operation_Assist,LD,12,Data Source/Sink Comments,■登録
Operation_Assist,LD,13,Data Source/Sink Comments,初期化
Operation_Assist,LD,14,Data Source/Sink Comments,ランプ状態が変化したとき処理を実行する
Operation_Assist,LD,23,Data Source/Sink Comments,■表示
Operation_Assist,LD,24,Data Source/Sink Comments,初期化
Operation_Assist,LD,25,Data Source/Sink Comments,ランプ状態が変化したとき処理を実行する
Operation_Assist,LD,37,Data Source/Sink Comments,■復帰
Operation_Assist,LD,39,Data Source/Sink Comments,進み動作中の処理
Operation_Assist,LD,41,Data Source/Sink Comments,戻し動作中の処理
Operation_Assist,LD,44,Data Source/Sink Comments,該当の各個PB番号抽出（進み側/戻し側）
Operation_Assist,LD,45,Data Source/Sink Comments,該当の各個PB操作条件⇒進み/戻し操作条件（グレーアウト機能）
Operation_Assist,LD,46,Data Source/Sink Comments,進み/戻しPB⇒該当の各個PB
Operation_Assist,LD,48,Data Source/Sink Comments,■編集
Operation_Assist,LD,49,Data Source/Sink Comments,初期化
Operation_Assist,LD,50,Data Source/Sink Comments,ランプ状態が変化したとき処理を実行する
Operation_Assist,LD,58,Data Source/Sink Comments,編集位置（STEP番号）の表示色変更
Operation_Assist,LD,61,Data Source/Sink Comments,挿入
Operation_Assist,LD,62,Data Source/Sink Comments,削除
Operation_Assist,LD,65,Data Source/Sink Comments,■前回ランプ状態更新
Operation_Assist,LD,66,Data Source/Sink Comments,■出力
Flow_Motion_Time,LD,1,Data Source/Sink Comments,"■表示1
初期値セット"
Flow_Motion_Time,LD,8,Data Source/Sink Comments,入力
Flow_Motion_Time,LD,17,Data Source/Sink Comments,リソースID生成
Flow_Motion_Time,LD,19,Data Source/Sink Comments,開始の判断
Flow_Motion_Time,LD,23,Data Source/Sink Comments,終了の判断
Flow_Motion_Time,LD,27,Data Source/Sink Comments,動作時間格納
Flow_Motion_Time,LD,32,Data Source/Sink Comments,最大、最小、平均、標準偏差　作成
Flow_Motion_Time,LD,37,Data Source/Sink Comments,出力
Flow_Motion_Time,LD,41,Data Source/Sink Comments,"■表示2
初期値セット"
Flow_Motion_Time,LD,48,Data Source/Sink Comments,入力
Flow_Motion_Time,LD,57,Data Source/Sink Comments,リソースID生成
Flow_Motion_Time,LD,59,Data Source/Sink Comments,開始の判断
Flow_Motion_Time,LD,63,Data Source/Sink Comments,終了の判断
Flow_Motion_Time,LD,67,Data Source/Sink Comments,動作時間格納
Flow_Motion_Time,LD,72,Data Source/Sink Comments,最大、最小、平均、標準偏差　作成
Flow_Motion_Time,LD,77,Data Source/Sink Comments,出力
INDV_Motion_Time,LD,1,Data Source/Sink Comments,初期値セット
INDV_Motion_Time,LD,8,Data Source/Sink Comments,入力
INDV_Motion_Time,LD,13,Data Source/Sink Comments,リソースID生成
INDV_Motion_Time,LD,14,Data Source/Sink Comments,計測開始処理
INDV_Motion_Time,LD,24,Data Source/Sink Comments,計測終了処理
INDV_Motion_Time,LD,28,Data Source/Sink Comments,最大、最小、平均、標準偏差　作成
INDV_Motion_Time,LD,36,Data Source/Sink Comments,出力
FlowControlDataJudge_ZDS,LD,1,Data Source/Sink Comments,■PLCモード切替り時 初期動作
FlowControlDataJudge_ZDS,LD,2,Data Source/Sink Comments,■内部ﾃﾞｰﾀ初期化
FlowControlDataJudge_ZDS,LD,3,Data Source/Sink Comments,"===MD_In===
■設備/工程番号獲得"
FlowControlDataJudge_ZDS,LD,4,Data Source/Sink Comments,■NG/再投入ﾜｰｸ時前設備/工程OKｱﾝｻｰ使用
FlowControlDataJudge_ZDS,LD,5,Data Source/Sink Comments,■設備/工程ｱﾝｻｰ作成前初期化
FlowControlDataJudge_ZDS,LD,6,Data Source/Sink Comments,"■設備ｱﾝｻｰ作成
・LD020:自設備False
・LD021:自設備True
・LD022:NG/再投入ﾜｰｸ選択時、前設備OKｽﾙｰ確認用"
FlowControlDataJudge_ZDS,LD,7,Data Source/Sink Comments,"■工程ｱﾝｻｰ作成
・LD023:自工程False
・LD024:自工程True
・LD025:NG/再投入ﾜｰｸ選択時、前工程OKｽﾙｰ用"
FlowControlDataJudge_ZDS,LD,8,Data Source/Sink Comments,===Fault===
FlowControlDataJudge_ZDS,LD,32,Data Source/Sink Comments,===Condition===
FlowControlDataJudge_ZDS,LD,34,Data Source/Sink Comments,===AutoRun===
FlowControlDataJudge_ZDS,LD,36,Data Source/Sink Comments,■動作選択
FlowControlDataJudge_ZDS,LD,37,Data Source/Sink Comments,■ﾜｰｸ無動作
FlowControlDataJudge_ZDS,LD,38,Data Source/Sink Comments,■■流動制御情報ﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,56,Data Source/Sink Comments,■通常ﾜｰｸ動作
FlowControlDataJudge_ZDS,LD,57,Data Source/Sink Comments,■■流動制御情報ﾁｪｯｸ(ﾏｽﾀｺｰﾄﾞ・再投入ｺｰﾄﾞ・再投入回数・品確ｺｰﾄﾞ)
FlowControlDataJudge_ZDS,LD,63,Data Source/Sink Comments,■■流動制御情報ﾁｪｯｸ(NGｺｰﾄﾞ)
FlowControlDataJudge_ZDS,LD,65,Data Source/Sink Comments,■■通常ﾜｰｸ(OK) 設備完了/OKﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,66,Data Source/Sink Comments,■■通常ﾜｰｸ(OK) 工程完了/OKﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,67,Data Source/Sink Comments,■■多台持ち工程選択確認
FlowControlDataJudge_ZDS,LD,68,Data Source/Sink Comments,■■多台持ち設備選択確認
FlowControlDataJudge_ZDS,LD,69,Data Source/Sink Comments,■■全工程未完了/OKﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,72,Data Source/Sink Comments,■■流動制御情報ﾁｪｯｸ(NGｺｰﾄﾞ)
FlowControlDataJudge_ZDS,LD,73,Data Source/Sink Comments,"■■Machine OK[1]-[4]をLWORD(64bit)に変換
　Transform Machine OK[1]-[4] to LWORD(64bit)"
FlowControlDataJudge_ZDS,LD,74,Data Source/Sink Comments,"■■自設備以降 設備OK bitOFF確認
　Confirm Machine OK bit OFF and after own machine"
FlowControlDataJudge_ZDS,LD,76,Data Source/Sink Comments,■■通常ﾜｰｸ(NG) 設備完了/OKﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,77,Data Source/Sink Comments,■■多台持ち設備選択確認
FlowControlDataJudge_ZDS,LD,78,Data Source/Sink Comments,■■通常ﾜｰｸ(NG) 工程完了ﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,79,Data Source/Sink Comments,■■多台持ち工程選択確認
FlowControlDataJudge_ZDS,LD,86,Data Source/Sink Comments,■ﾏｽﾀﾜｰｸ動作
FlowControlDataJudge_ZDS,LD,87,Data Source/Sink Comments,■■流動制御情報ﾁｪｯｸ(NGｺｰﾄﾞ・ﾏｽﾀｺｰﾄﾞ・再投入ｺｰﾄﾞ・再投入回数・品確ｺｰﾄﾞ)
FlowControlDataJudge_ZDS,LD,93,Data Source/Sink Comments,■■ﾏｽﾀｺｰﾄﾞﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,101,Data Source/Sink Comments,■再投入ﾜｰｸ動作
FlowControlDataJudge_ZDS,LD,102,Data Source/Sink Comments,■■流動制御情報ﾁｪｯｸ(ﾏｽﾀｺｰﾄﾞ・再投入ｺｰﾄﾞ・再投入回数・品確ｺｰﾄﾞ)
FlowControlDataJudge_ZDS,LD,107,Data Source/Sink Comments,■■再投入ｺｰﾄﾞﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,113,Data Source/Sink Comments,■■再投入上限回数ﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,114,Data Source/Sink Comments,■■動作あり_設備完了/OKﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,115,Data Source/Sink Comments,■■多台持ち設備選択確認
FlowControlDataJudge_ZDS,LD,116,Data Source/Sink Comments,■■動作あり_工程完了/OKﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,117,Data Source/Sink Comments,■■多台持ち工程選択確認
FlowControlDataJudge_ZDS,LD,119,Data Source/Sink Comments,■■NGｺｰﾄﾞ情報0ﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,120,Data Source/Sink Comments,■■動作なし_設備完了ﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,121,Data Source/Sink Comments,■■多台持ち設備選択確認
FlowControlDataJudge_ZDS,LD,122,Data Source/Sink Comments,■■動作なし_工程完了ﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,123,Data Source/Sink Comments,■■多台持ち工程選択確認
FlowControlDataJudge_ZDS,LD,128,Data Source/Sink Comments,■品確ﾜｰｸ動作
FlowControlDataJudge_ZDS,LD,129,Data Source/Sink Comments,■■流動制御情報ﾁｪｯｸ(OKﾜｰｸ・NGｺｰﾄﾞ・ﾏｽﾀｺｰﾄﾞ・再投入ｺｰﾄﾞ・再投入回数・品確ｺｰﾄﾞ)
FlowControlDataJudge_ZDS,LD,137,Data Source/Sink Comments,■■設備完了ﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,138,Data Source/Sink Comments,■■多台持ち設備選択確認
FlowControlDataJudge_ZDS,LD,139,Data Source/Sink Comments,■■動作なし_工程完了ﾁｪｯｸ
FlowControlDataJudge_ZDS,LD,140,Data Source/Sink Comments,■■多台持ち工程選択確認
FlowControlDataJudge_ZDS,LD,145,Data Source/Sink Comments,■ﾕｰｻﾞ定義ﾜｰｸ動作
FlowControlDataJudge_ZDS,LD,148,Data Source/Sink Comments,===FB Out===
FlowControlDataWrite_ZFC,LD,1,Data Source/Sink Comments,"■PLCモード切替り時 初期動作
■INITIAL DATA SETTINGS"
FlowControlDataWrite_ZFC,LD,2,Data Source/Sink Comments,"■内部ﾃﾞｰﾀ初期化
■INITIAL DATA CLEAR"
FlowControlDataWrite_ZFC,LD,3,Data Source/Sink Comments,===MD_In===
FlowControlDataWrite_ZFC,LD,4,Data Source/Sink Comments,"■設備/工程ｱﾝｻｰ作成前初期化
■INITIAL DATA CLEAR OF MACHINE /PROCESS DATA"
FlowControlDataWrite_ZFC,LD,5,Data Source/Sink Comments,"■設備ｱﾝｻｰ作成
■MACHINE DATA SETTINGS
・LD020:自設備False"
FlowControlDataWrite_ZFC,LD,6,Data Source/Sink Comments,"■工程ｱﾝｻｰ作成
■PROCESS DATA SETTINGS
・LD023:自工程False"
FlowControlDataWrite_ZFC,LD,7,Data Source/Sink Comments,===Fault===
FlowControlDataWrite_ZFC,LD,20,Data Source/Sink Comments,===Condition===
FlowControlDataWrite_ZFC,LD,22,Data Source/Sink Comments,===AutoRun===
FlowControlDataWrite_ZFC,LD,24,Data Source/Sink Comments,"■ﾍﾞﾘﾌｧｲﾁｪｯｸ
■VERIFY CHECK"
FlowControlDataWrite_ZFC,LD,43,Data Source/Sink Comments,"■動作選択
■WRITING MOTION SELECT"
FlowControlDataWrite_ZFC,LD,45,Data Source/Sink Comments,"■OK動作_書込ﾊﾟﾗﾒｰﾀ確認
■WRITING PARAMETER OK"
FlowControlDataWrite_ZFC,LD,46,Data Source/Sink Comments,"■■出口工程以外_ﾜｰｸ情報確認
■■WP_DATA CONFIRMATION (EXCEPT EXIT PROCESS)"
FlowControlDataWrite_ZFC,LD,47,Data Source/Sink Comments,"■■OKﾜｰｸ判定動作
■■WP_OK WRITING"
FlowControlDataWrite_ZFC,LD,48,Data Source/Sink Comments,"■■ﾏｽﾀﾜｰｸ判定動作
■■WP_MASTER_WRITING"
FlowControlDataWrite_ZFC,LD,49,Data Source/Sink Comments,"■■再投入ﾜｰｸ判定動作
■■WP_RELOADING_WRITING"
FlowControlDataWrite_ZFC,LD,52,Data Source/Sink Comments,"■■出口工程_ﾜｰｸ情報確認
■■WP_CONFIRMATION EXIT PROCESS"
FlowControlDataWrite_ZFC,LD,53,Data Source/Sink Comments,"■■OKﾜｰｸ判定動作
■■WP OK WRITING"
FlowControlDataWrite_ZFC,LD,54,Data Source/Sink Comments,"■■ﾏｽﾀﾜｰｸ判定動作
■■WP MASTER WRITING"
FlowControlDataWrite_ZFC,LD,55,Data Source/Sink Comments,"■■再投入ﾜｰｸ判定動作
■■WP RELOADING WRITING"
FlowControlDataWrite_ZFC,LD,58,Data Source/Sink Comments,"■NG動作_書込ﾊﾟﾗﾒｰﾀ確認
■WP_NG WRITING PARAMETER"
FlowControlDataWrite_ZFC,LD,59,Data Source/Sink Comments,"■■出口工程以外_ﾜｰｸ情報確認
■■WP_CONFIRMATION EXCEPT EXIT PROCESS"
FlowControlDataWrite_ZFC,LD,60,Data Source/Sink Comments,"■■OKﾜｰｸ判定動作
■■WP_OK WRITING"
FlowControlDataWrite_ZFC,LD,61,Data Source/Sink Comments,"■■ﾏｽﾀﾜｰｸ判定動作
■■WP_MASTER WRITING"
FlowControlDataWrite_ZFC,LD,62,Data Source/Sink Comments,"■■再投入ﾜｰｸ判定動作
■■WP_RELOADING WRITING"
FlowControlDataWrite_ZFC,LD,65,Data Source/Sink Comments,"■■出口工程_ﾜｰｸ情報確認
■■WP_CONFIRMATION (EXIT PROCESS)"
FlowControlDataWrite_ZFC,LD,66,Data Source/Sink Comments,"■■OKﾜｰｸ判定動作
■■WP_OK  WRITING"
FlowControlDataWrite_ZFC,LD,67,Data Source/Sink Comments,"■■ﾏｽﾀﾜｰｸ判定動作
■■WP_MASTER  WRITING"
FlowControlDataWrite_ZFC,LD,68,Data Source/Sink Comments,"■■再投入ﾜｰｸ判定動作
■■WP_RELAODING  WRITING"
FlowControlDataWrite_ZFC,LD,71,Data Source/Sink Comments,"■再投入NG動作_書込ﾊﾟﾗﾒｰﾀ確認
■RELAODING NG WRITING PARAMETER CONFIRMATION"
FlowControlDataWrite_ZFC,LD,72,Data Source/Sink Comments,"■■出口工程以外_ﾜｰｸ情報確認
■■EXCEPT EXIT PROCESS WP_CONFIRMATION"
FlowControlDataWrite_ZFC,LD,73,Data Source/Sink Comments,"■■OKﾜｰｸ判定動作
■■OK WP WRITING"
FlowControlDataWrite_ZFC,LD,74,Data Source/Sink Comments,"■■再投入ﾜｰｸ判定動作
■■RELOADING WP WRITING"
FlowControlDataWrite_ZFC,LD,77,Data Source/Sink Comments,"■品確動作_書込ﾊﾟﾗﾒｰﾀ確認
■QUALLITY CHECK WRITING PARAMETER CONFIRMATION"
FlowControlDataWrite_ZFC,LD,78,Data Source/Sink Comments,"■■出口工程以外_ﾜｰｸ情報確認
■■EXCEPT EXIT PROCESS WP CONFIRMATION"
FlowControlDataWrite_ZFC,LD,79,Data Source/Sink Comments,"■■OKﾜｰｸ判定動作
■■OK WP WRITING"
FlowControlDataWrite_ZFC,LD,80,Data Source/Sink Comments,"■■再投入ﾜｰｸ判定動作
■■RELOADING WP WRITING"
FlowControlDataWrite_ZFC,LD,83,Data Source/Sink Comments,"■■出口工程_ﾜｰｸ情報確認
■■EXIT PROCESS WP CONFIRMATION"
FlowControlDataWrite_ZFC,LD,84,Data Source/Sink Comments,"■■OKﾜｰｸ判定動作
■■OK WP WRITING"
FlowControlDataWrite_ZFC,LD,85,Data Source/Sink Comments,"■■再投入ﾜｰｸ判定動作
■■RELOADING WP WRITING"
FlowControlDataWrite_ZFC,LD,88,Data Source/Sink Comments,"■動作なし動作_書込ﾊﾟﾗﾒｰﾀ確認
■NO MOTION PARAMETER_CONFIRMATION"
FlowControlDataWrite_ZFC,LD,89,Data Source/Sink Comments,"■■出口工程以外_ﾜｰｸ情報確認
■■EXCEPT EXIT PROCESS WP_CONFIRMATION"
FlowControlDataWrite_ZFC,LD,91,Data Source/Sink Comments,"■■NGﾜｰｸ判定動作
■■NG WRITING"
FlowControlDataWrite_ZFC,LD,93,Data Source/Sink Comments,"■■出口工程__ﾜｰｸ情報確認
■■EXIT PROCESS_WP CONFIRMATION"
FlowControlDataWrite_ZFC,LD,95,Data Source/Sink Comments,"■■NG/再投入/品確ﾜｰｸ判定動作
■■NG/RELOADING/QUALITY CHECK WRITING"
FlowControlDataWrite_ZFC,LD,97,Data Source/Sink Comments,"■空ﾊﾟﾚｯﾄ動作
■EMPTY PALLET"
FlowControlDataWrite_ZFC,LD,100,Data Source/Sink Comments,"■動作完了確認
■WRITING END"
FlowControlDataWrite_ZFC,LD,101,Data Source/Sink Comments,===FB Out===
